course_id,course_title,credits,source
ENG110,Freshman Composition,3,program_catalog
ENG111,Writing and Inquiry,3,program_catalog
COM110,Introduction to Communication,3,program_catalog
COM120,Intro Interpersonal Com,3,program_catalog
COM231,Public Speaking,3,program_catalog
ENG112,Writing/Research in the Disc,3,program_catalog
ENG114,Prof Research & Reporting,3,program_catalog
ART111,Art Appreciation,3,program_catalog
HUM110,Technology and Society,3,program_catalog
HUM115,Critical Thinking,3,program_catalog
HUM230,Leadership Development,3,program_catalog
MUS110,Music Appreciation,3,program_catalog
PHI240,Introduction to Ethics,3,program_catalog
ECO151,Survey of Economics,3,program_catalog
ECO251,Prin of Microeconomics,3,program_catalog
ECO252,Prin of Macroeconomics,3,program_catalog
POL120,American Government,3,program_catalog
PSY118,Interpersonal Psychology,3,program_catalog
PSY150,General Psychology,3,program_catalog
SOC210,Introduction to Sociology,3,program_catalog
MAT110,Math Measurement & Literacy,3,program_catalog
MAT121,Algebra/Trigonometry I,3,program_catalog
MAT143,Quantitative Literacy,3,program_catalog
MAT152,Statistical Methods I,4,program_catalog
MAT171,Precalculus Algebra,4,program_catalog
CTI110,IT Foundations,3,program_catalog
CTI120,Network & Sec Foundations,3,program_catalog
CTS115,Info Sys Business Concepts,3,program_catalog
CIS110,Introduction to Computers,3,program_catalog
CIS115,Intro to Prog & Logic,3,program_catalog
NOS110,Operating Systems Concepts,3,program_catalog
WEB110,Web Development Fundamentals,3,program_catalog
CSC151,JAVA Programming,3,program_catalog
CSC251,Advanced JAVA Programming,3,program_catalog
DBA110,Database,3,program_catalog
DBA120,Database,3,program_catalog
DME110,Intro to Digital Media,3,program_catalog
DME115,Digital Media Tools,3,program_catalog
DME120,Intro to Multimedia,3,program_catalog
DME130,Digital Animation I,3,program_catalog
CSC134,C++ Programming,3,program_catalog
CSC153,C# Programming,3,program_catalog
SGD113,SGD Programming I,3,program_catalog
SGD111,Introduction to SGD,3,program_catalog
SGD112,SGD Design I,3,program_catalog
CTI150,Mobile Computing Devices,3,program_catalog
WEB125,Responsive Web Frameworks,3,program_catalog
WEB141,Mobile Interface Design,3,program_catalog
WEB151,Mobile Application Dev I,3,program_catalog
WEB251,Mobile Application Dev II,3,program_catalog
NET125,Introduction to Networks,3,program_catalog
NET126,,3,program_catalog
CTI141,,3,program_catalog
CTS155,Tech Support Functions,3,program_catalog
CTS272,Desktop Support: Apps,3,program_catalog
