mos_code,mos_title,branch,skill_level,course_id,course_title,credits,course_level,source_file,source_sheet,status,notes
12P,Prime Power Production Specialist,Army,10,CIS110,Introduction to Computers,0,CAA,Army_MOS_Maps_Reduced.xlsx,12P,no_credit,
12P,Prime Power Production Specialist,Army,20,CIS110,Introduction to Computers,0,CAA,Army_MOS_Maps_Reduced.xlsx,12P,no_credit,
12P,Prime Power Production Specialist,Army,30,CIS110,Introduction to Computers,3,CAA,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,40,CIS110,Introduction to Computers,3,CAA,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,10,ELC112,DC/AC Electricity,5,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,20,ELC112,DC/AC Electricity,5,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,30,ELC112,DC/AC Electricity,5,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,40,ELC112,DC/AC Electricity,5,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,10,ELC117,Motors & Controls,4,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,20,ELC117,Motors & Controls,4,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,30,ELC117,Motors & Controls,4,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,40,ELC117,Motors & Controls,4,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,10,ISC112,Industrial Safety,2,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,20,ISC112,Industrial Safety,2,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,30,ISC112,Industrial Safety,2,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
12P,Prime Power Production Specialist,Army,40,ISC112,Industrial Safety,2,AAS,Army_MOS_Maps_Reduced.xlsx,12P,ok,
25B,Information Technology Specialist,Army,10,COM120,Intro Interpersonal Communication,0,CAA,Army_MOS_Maps_Reduced.xlsx,25B,no_credit,
25B,Information Technology Specialist,Army,20,COM120,Intro Interpersonal Communication,0,CAA,Army_MOS_Maps_Reduced.xlsx,25B,no_credit,
25B,Information Technology Specialist,Army,30,COM120,Intro Interpersonal Communication,3,CAA,Army_MOS_Maps_Reduced.xlsx,25B,ok,
25B,Information Technology Specialist,Army,40,COM120,Intro Interpersonal Communication,3,CAA,Army_MOS_Maps_Reduced.xlsx,25B,ok,
25B,Information Technology Specialist,Army,10,CIS110,Introduction to Computers,3,CAA,Army_MOS_Maps_Reduced.xlsx,25B,ok,
