program_code,program_title,credential_type,catalog_year,program_total_credits,requirement_group,requirement_type,course_id,course_credits,choice_group_id,choice_group_target_credits,source_file,source_row,raw_rule_text,status,notes
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ENG110,3,A25590::GE Required ENG Pick,3.0,2026_POS_Reduced.xlsx,2,From S26392 ENG-110,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ENG111,3,A25590::GE Required ENG Pick,3.0,2026_POS_Reduced.xlsx,3,S26393 ENG-111,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,COM110,3,A25590::GE Required Pick,3.0,2026_POS_Reduced.xlsx,5,From S13264 COM-110,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,COM120,3,A25590::GE Required Pick,3.0,2026_POS_Reduced.xlsx,6,S21722 COM-120,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,COM231,3,A25590::GE Required Pick,3.0,2026_POS_Reduced.xlsx,7,S12601 COM-231,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ENG112,3,A25590::GE Required Pick,3.0,2026_POS_Reduced.xlsx,8,S24024 ENG-112,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ENG114,3,A25590::GE Required Pick,3.0,2026_POS_Reduced.xlsx,9,S13706 ENG-114,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ART111,3,A25590::HUM/FINE Arts Pick,3.0,2026_POS_Reduced.xlsx,11,> Take From 3 credits S10139 ART-111,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,HUM110,3,A25590::HUM/FINE Arts Pick,3.0,2026_POS_Reduced.xlsx,12,S14059 HUM-110,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,HUM115,3,A25590::HUM/FINE Arts Pick,3.0,2026_POS_Reduced.xlsx,13,S26396 HUM-115,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,HUM230,3,A25590::HUM/FINE Arts Pick,3.0,2026_POS_Reduced.xlsx,14,S11154 HUM-230,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,MUS110,3,A25590::HUM/FINE Arts Pick,3.0,2026_POS_Reduced.xlsx,15,S13676 MUS-110,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,PHI240,3,A25590::HUM/FINE Arts Pick,3.0,2026_POS_Reduced.xlsx,16,S24029 PHI-240,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ECO151,3,A25590::Take From SCI Pick,3.0,2026_POS_Reduced.xlsx,17,SOC/BEHAV > Take From SCI Pick 3 credits S13257 ECO-151,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ECO251,3,A25590::Take From SCI Pick,3.0,2026_POS_Reduced.xlsx,18,S11774 ECO-251,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,ECO252,3,A25590::Take From SCI Pick,3.0,2026_POS_Reduced.xlsx,19,S11710 ECO-252,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,POL120,3,A25590::Take From SCI Pick,3.0,2026_POS_Reduced.xlsx,20,S24030 POL-120,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,PSY118,3,A25590::Take From SCI Pick,3.0,2026_POS_Reduced.xlsx,21,S11025 PSY-118,ok,
A25590,Information Technology,TRD,2026,66.0,General Education Requirements,general_education_choice,PSY150,3,A25590::Take From SCI Pick,3.0,2026_POS_Reduced.xlsx,22,S10777 PSY-150,ok,
