training_id,branch,training_name,training_alias,course_id,course_credits,source_total_hours,verification_required,condition,source_file,source_table,status,notes
ARMY_ADVANCED_NEGOTIATIONS_TRAINING,ARMY,Advanced Negotiations Training,,CJC120,2,2,False,,Appendix J for website2026 (002).docx,table_0,ok,
ARMY_ADVANCED_NONCOMMISSIONED_OFFICER_COURSE_ANCOC,ARMY,Advanced Noncommissioned Officer Course (ANCOC),ANCOC,BUS253,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (training:Distributed Leader III (DLC III)); original combined total was 6 hours covering multiple courses
ARMY_ADVANCED_NONCOMMISSIONED_OFFICER_COURSE_ANCOC,ARMY,Advanced Noncommissioned Officer Course (ANCOC),ANCOC,BUS255,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ADVANCED_SITUATIONAL_AWARENESS_BASIC_ASAB,ARMY,Advanced Situational Awareness Basic (ASAB),ASAB,HUM115,3,3,False,,Appendix J for website2026 (002).docx,table_0,ok,
ARMY_AIR_ASSAULT,ARMY,Air Assault,,HUM115,3,3,False,,Appendix J for website2026 (002).docx,table_0,ok,
ARMY_ARMY_ADVANCED_LEADER_COURSE_ALC,ARMY,Army Advanced Leader Course (ALC),ALC,BUS137,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_ADVANCED_LEADER_COURSE_ALC,ARMY,Army Advanced Leader Course (ALC),ALC,BUS234,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (training:SHARP certification); original combined total was 6 hours covering multiple courses
ARMY_ARMY_BASIC_INSTRUCTOR_S_COURSE_ABIC,ARMY,Army Basic Instructor’s Course (ABIC),ABIC,COM231,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_BASIC_INSTRUCTOR_S_COURSE_ABIC,ARMY,Army Basic Instructor’s Course (ABIC),ABIC,EDU163,,6,True,,Appendix J for website2026 (002).docx,table_0,credits_unresolved,"Combined hours cover multiple courses; per-course credit not invented, see source_total_hours"
ARMY_ARMY_BASIC_LEADER_COURSE_BLC,ARMY,Army Basic Leader Course (BLC),BLC,COM120,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_BASIC_LEADER_COURSE_BLC,ARMY,Army Basic Leader Course (BLC),BLC,HUM230,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_BASIC_OFFICER_LEADER_COURSE_BOLC,ARMY,Army Basic Officer Leader Course (BOLC),BOLC,BUS135,3,9,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 9 hours covering multiple courses
ARMY_ARMY_BASIC_OFFICER_LEADER_COURSE_BOLC,ARMY,Army Basic Officer Leader Course (BOLC),BOLC,BUS255,3,9,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 9 hours covering multiple courses
ARMY_ARMY_BASIC_OFFICER_LEADER_COURSE_BOLC,ARMY,Army Basic Officer Leader Course (BOLC),BOLC,BUS153,3,9,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 9 hours covering multiple courses
ARMY_ARMY_BASIC_TRAINING,ARMY,Army Basic Training,,PED110,2,7,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 7 hours covering multiple courses
ARMY_ARMY_BASIC_TRAINING,ARMY,Army Basic Training,,PED172,,7,True,,Appendix J for website2026 (002).docx,table_0,credits_unresolved,"Combined hours cover multiple courses; per-course credit not invented, see source_total_hours"
ARMY_ARMY_BASIC_TRAINING,ARMY,Army Basic Training,,PED169,,7,True,,Appendix J for website2026 (002).docx,table_0,credits_unresolved,"Combined hours cover multiple courses; per-course credit not invented, see source_total_hours"
ARMY_ARMY_BASIC_TRAINING,ARMY,Army Basic Training,,HEA112,,7,True,,Appendix J for website2026 (002).docx,table_0,credits_unresolved,"Combined hours cover multiple courses; per-course credit not invented, see source_total_hours"
ARMY_ARMY_FIRST_SERGEANT_S_COURSE,ARMY,Army First Sergeant’s Course,,BUS261,,6,True,,Appendix J for website2026 (002).docx,table_0,credits_unresolved,"Combined hours cover multiple courses; per-course credit not invented, see source_total_hours"
ARMY_ARMY_FIRST_SERGEANT_S_COURSE,ARMY,Army First Sergeant’s Course,,BUS240,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_FORCE_MANAGEMENT_COURSE,ARMY,Army Force Management Course,,BUS255,3,3,False,,Appendix J for website2026 (002).docx,table_0,ok,
ARMY_ARMY_SERGEANT_MAJOR_S_ACADEMY,ARMY,Army Sergeant Major’s Academy,,HUM230,3,12,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 12 hours covering multiple courses
ARMY_ARMY_SERGEANT_MAJOR_S_ACADEMY,ARMY,Army Sergeant Major’s Academy,,POL220,3,12,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 12 hours covering multiple courses
ARMY_ARMY_SERGEANT_MAJOR_S_ACADEMY,ARMY,Army Sergeant Major’s Academy,,BUS255,3,12,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 12 hours covering multiple courses
ARMY_ARMY_SERGEANT_MAJOR_S_ACADEMY,ARMY,Army Sergeant Major’s Academy,,BUS260,3,12,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 12 hours covering multiple courses
ARMY_ARMY_SENIOR_LEADER_COURSE_SLC,ARMY,Army Senior Leader Course (SLC),SLC,BUS253,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (training:Distributed Leader III (DLC III)); original combined total was 6 hours covering multiple courses
ARMY_ARMY_SENIOR_LEADER_COURSE_SLC,ARMY,Army Senior Leader Course (SLC),SLC,BUS255,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_WARRIOR_LEADER_COURSE_WLC,ARMY,Army Warrior Leader Course (WLC),WLC,HUM230,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_WARRIOR_LEADER_COURSE_WLC,ARMY,Army Warrior Leader Course (WLC),WLC,BUS135,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_RECRUITING,ARMY,Army Recruiting,,COM120,3,6,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 6 hours covering multiple courses
ARMY_ARMY_RECRUITING,ARMY,Army Recruiting,,BUS256,,6,True,,Appendix J for website2026 (002).docx,table_0,credits_unresolved,"Combined hours cover multiple courses; per-course credit not invented, see source_total_hours"
ARMY_BASIC_MULTIMEDIA_ILLUSTRATOR,ARMY,Basic Multimedia Illustrator,,ART131,3,8,False,,Appendix J for website2026 (002).docx,table_0,ok,Credit resolved via course-credit reference (program_catalog); original combined total was 8 hours covering multiple courses
